source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sample type]	characteristics[control material]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[acquisition date]	comment[cohort]	comment[MS batch]	comment[sample preparation batch]	comment[plate]	comment[plate row]	comment[plate column]	comment[injection order]	comment[annotation provenance]	factor value[control material]
20200520_TOF1_AF_344_ZeBanC_P3_C2	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	SP.QC.Plasma	20200520_TOF1_AF_344_ZeBanC_P3_C2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_344_ZeBanC_P3_C2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	2	3	C	2	344	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Plasma
20200520_TOF1_AF_348_ZeBanC_QC_029	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	MS.QC	20200520_TOF1_AF_348_ZeBanC_QC_029	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_348_ZeBanC_QC_029.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	NA	NA	NA	NA	348	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	MS.QC
20200520_TOF1_AF_354_ZeBanC_PlasmaBatch_029	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	MS.QC.plasmabatch	20200520_TOF1_AF_354_ZeBanC_PlasmaBatch_029	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_354_ZeBanC_PlasmaBatch_029.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	NA	NA	NA	NA	354	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	MS.QC.plasmabatch
20200520_TOF1_AF_355_ZeBanC_P3_C11	Homo sapiens	blood serum	not applicable	1	quality control sample	SP.QC.Serum	20200520_TOF1_AF_355_ZeBanC_P3_C11	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_355_ZeBanC_P3_C11.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	2	3	C	11	355	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Serum
20200520_TOF1_AF_360_ZeBanC_QC_030	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	MS.QC	20200520_TOF1_AF_360_ZeBanC_QC_030	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_360_ZeBanC_QC_030.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	NA	NA	NA	NA	360	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	MS.QC
20200520_TOF1_AF_362_ZeBanC_P3_D5	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	SP.QC.Plasma	20200520_TOF1_AF_362_ZeBanC_P3_D5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_362_ZeBanC_P3_D5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	2	3	D	5	362	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Plasma
20200520_TOF1_AF_366_ZeBanC_PlasmaBatch_030	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	MS.QC.plasmabatch	20200520_TOF1_AF_366_ZeBanC_PlasmaBatch_030	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_366_ZeBanC_PlasmaBatch_030.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	NA	NA	NA	NA	366	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	MS.QC.plasmabatch
20200520_TOF1_AF_370_ZeBanC_P3_D12	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	SP.QC.Plasma	20200520_TOF1_AF_370_ZeBanC_P3_D12	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_370_ZeBanC_P3_D12.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	2	3	D	12	370	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Plasma
20200520_TOF1_AF_373_ZeBanC_QC_031	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	MS.QC	20200520_TOF1_AF_373_ZeBanC_QC_031	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_373_ZeBanC_QC_031.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	NA	NA	NA	NA	373	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	MS.QC
20200520_TOF1_AF_376_ZeBanC_P3_E4	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	SP.QC.Plasma	20200520_TOF1_AF_376_ZeBanC_P3_E4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_376_ZeBanC_P3_E4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	2	3	E	4	376	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Plasma
20200520_TOF1_AF_379_ZeBanC_PlasmaBatch_031	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	MS.QC.plasmabatch	20200520_TOF1_AF_379_ZeBanC_PlasmaBatch_031	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_379_ZeBanC_PlasmaBatch_031.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	NA	NA	NA	NA	379	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	MS.QC.plasmabatch
20200520_TOF1_AF_385_ZeBanC_QC_032	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	MS.QC	20200520_TOF1_AF_385_ZeBanC_QC_032	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_385_ZeBanC_QC_032.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	NA	NA	NA	NA	385	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	MS.QC
20200520_TOF1_AF_391_ZeBanC_PlasmaBatch_032	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	MS.QC.plasmabatch	20200520_TOF1_AF_391_ZeBanC_PlasmaBatch_032	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_391_ZeBanC_PlasmaBatch_032.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	NA	NA	NA	NA	391	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	MS.QC.plasmabatch
20200520_TOF1_AF_392_ZeBanC_P3_F5	Homo sapiens	blood serum	not applicable	1	quality control sample	SP.QC.Serum	20200520_TOF1_AF_392_ZeBanC_P3_F5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_392_ZeBanC_P3_F5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	2	3	F	5	392	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Serum
20200520_TOF1_AF_397_ZeBanC_QC_033	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	MS.QC	20200520_TOF1_AF_397_ZeBanC_QC_033	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_397_ZeBanC_QC_033.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	NA	NA	NA	NA	397	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	MS.QC
20200520_TOF1_AF_402_ZeBanC_P3_G2	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	SP.QC.Plasma	20200520_TOF1_AF_402_ZeBanC_P3_G2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_402_ZeBanC_P3_G2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	2	3	G	2	402	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Plasma
20200520_TOF1_AF_404_ZeBanC_PlasmaBatch_033	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	MS.QC.plasmabatch	20200520_TOF1_AF_404_ZeBanC_PlasmaBatch_033	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_404_ZeBanC_PlasmaBatch_033.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	NA	NA	NA	NA	404	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	MS.QC.plasmabatch
20200520_TOF1_AF_406_ZeBanC_P3_G4	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	SP.QC.Plasma	20200520_TOF1_AF_406_ZeBanC_P3_G4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_406_ZeBanC_P3_G4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	2	3	G	4	406	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Plasma
20200520_TOF1_AF_410_ZeBanC_QC_034	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	MS.QC	20200520_TOF1_AF_410_ZeBanC_QC_034	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_410_ZeBanC_QC_034.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	NA	NA	NA	NA	410	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	MS.QC
20200520_TOF1_AF_416_ZeBanC_PlasmaBatch_034	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	MS.QC.plasmabatch	20200520_TOF1_AF_416_ZeBanC_PlasmaBatch_034	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_416_ZeBanC_PlasmaBatch_034.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	NA	NA	NA	NA	416	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	MS.QC.plasmabatch
20200520_TOF1_AF_418_ZeBanC_P3_H2	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	SP.QC.Plasma	20200520_TOF1_AF_418_ZeBanC_P3_H2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_418_ZeBanC_P3_H2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	2	3	H	2	418	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Plasma
20200520_TOF1_AF_419_ZeBanC_P3_H3	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	SP.QC.Plasma	20200520_TOF1_AF_419_ZeBanC_P3_H3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_419_ZeBanC_P3_H3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	2	3	H	3	419	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Plasma
20200520_TOF1_AF_421_ZeBanC_P3_H5	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	SP.QC.Plasma	20200520_TOF1_AF_421_ZeBanC_P3_H5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_421_ZeBanC_P3_H5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	2	3	H	5	421	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Plasma
20200520_TOF1_AF_422_ZeBanC_QC_035	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	MS.QC	20200520_TOF1_AF_422_ZeBanC_QC_035	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_422_ZeBanC_QC_035.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	NA	NA	NA	NA	422	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	MS.QC
20200520_TOF1_AF_424_ZeBanC_P3_H7	Homo sapiens	blood serum	not applicable	1	quality control sample	SP.QC.Serum	20200520_TOF1_AF_424_ZeBanC_P3_H7	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_424_ZeBanC_P3_H7.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	2	3	H	7	424	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Serum
20200520_TOF1_AF_428_ZeBanC_PlasmaBatch_035	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	MS.QC.plasmabatch	20200520_TOF1_AF_428_ZeBanC_PlasmaBatch_035	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_428_ZeBanC_PlasmaBatch_035.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	NA	NA	NA	NA	428	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	MS.QC.plasmabatch
20200520_TOF1_AF_435_ZeBanC_QC_036	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	MS.QC	20200520_TOF1_AF_435_ZeBanC_QC_036	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_435_ZeBanC_QC_036.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	NA	NA	NA	NA	435	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	MS.QC
20200520_TOF1_AF_439_ZeBanC_P4_A7	Homo sapiens	blood plasma	not applicable	pooled	quality control sample	SP.QC.Plasma	20200520_TOF1_AF_439_ZeBanC_P4_A7	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	1	1	20200520_TOF1_AF_439_ZeBanC_P4_A7.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	2020-05-20	Charite	1	2	4	A	7	439	All deposited runs join author Charite-batch_info.txt or Innsbruck-batch_info.txt and are control acquisitions; clinical cohort biological rows are not deposited here. PMC8201874 identifies pooled-donor plasma, commercial serum and pooled acquisition controls. Source IDs retain individual preparation/acquisition identifiers; biological replicate 1 for controls with unspecified pooling does not assert independent donors.	SP.QC.Plasma
