source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]	comment[annotation provenance]	factor value[condition]
Ecoli_Lysate_S2_untreated_soluble	Escherichia coli	cell lysate	not applicable	2	not available	Ecoli_Lysate_E6	proteomic profiling by mass spectrometry	2	WC_Proteinfolding_FASP_TMT_F3_R2_20170919.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT130N;AC=PRIDE:0000528	3	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A untreated soluble
Ecoli_Lysate_S1_RNaseA_total	Escherichia coli	cell lysate	not applicable	1	not available	Ecoli_Lysate_E7	proteomic profiling by mass spectrometry	1	WC_Proteinfolding_FASP_TMT_F4_R1_20170917.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT126;AC=PRIDE:0000516	4	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A treated total
Ecoli_Lysate_S1_untreated_total	Escherichia coli	cell lysate	not applicable	1	not available	Ecoli_Lysate_E7	proteomic profiling by mass spectrometry	1	WC_Proteinfolding_FASP_TMT_F4_R1_20170917.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT127N;AC=PRIDE:0000519	4	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A untreated total
Ecoli_Lysate_S1_RNaseA_soluble	Escherichia coli	cell lysate	not applicable	1	not available	Ecoli_Lysate_E7	proteomic profiling by mass spectrometry	1	WC_Proteinfolding_FASP_TMT_F4_R1_20170917.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT127C;AC=PRIDE:0000518	4	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A treated soluble
Ecoli_Lysate_S1_untreated_soluble	Escherichia coli	cell lysate	not applicable	1	not available	Ecoli_Lysate_E7	proteomic profiling by mass spectrometry	1	WC_Proteinfolding_FASP_TMT_F4_R1_20170917.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT128N;AC=PRIDE:0000522	4	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A untreated soluble
Ecoli_Lysate_S2_RNaseA_total	Escherichia coli	cell lysate	not applicable	2	not available	Ecoli_Lysate_E7	proteomic profiling by mass spectrometry	1	WC_Proteinfolding_FASP_TMT_F4_R1_20170917.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT128C;AC=PRIDE:0000521	4	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A treated total
Ecoli_Lysate_S2_untreated_total	Escherichia coli	cell lysate	not applicable	2	not available	Ecoli_Lysate_E7	proteomic profiling by mass spectrometry	1	WC_Proteinfolding_FASP_TMT_F4_R1_20170917.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT129N;AC=PRIDE:0000525	4	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A untreated total
Ecoli_Lysate_S2_RNaseA_soluble	Escherichia coli	cell lysate	not applicable	2	not available	Ecoli_Lysate_E7	proteomic profiling by mass spectrometry	1	WC_Proteinfolding_FASP_TMT_F4_R1_20170917.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT129C;AC=PRIDE:0000524	4	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A treated soluble
Ecoli_Lysate_S2_untreated_soluble	Escherichia coli	cell lysate	not applicable	2	not available	Ecoli_Lysate_E7	proteomic profiling by mass spectrometry	1	WC_Proteinfolding_FASP_TMT_F4_R1_20170917.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT130N;AC=PRIDE:0000528	4	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A untreated soluble
Ecoli_Lysate_S1_RNaseA_total	Escherichia coli	cell lysate	not applicable	1	not available	Ecoli_Lysate_E8	proteomic profiling by mass spectrometry	2	WC_Proteinfolding_FASP_TMT_F4_R2_20170919.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT126;AC=PRIDE:0000516	4	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A treated total
Ecoli_Lysate_S1_untreated_total	Escherichia coli	cell lysate	not applicable	1	not available	Ecoli_Lysate_E8	proteomic profiling by mass spectrometry	2	WC_Proteinfolding_FASP_TMT_F4_R2_20170919.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT127N;AC=PRIDE:0000519	4	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A untreated total
Ecoli_Lysate_S1_RNaseA_soluble	Escherichia coli	cell lysate	not applicable	1	not available	Ecoli_Lysate_E8	proteomic profiling by mass spectrometry	2	WC_Proteinfolding_FASP_TMT_F4_R2_20170919.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT127C;AC=PRIDE:0000518	4	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A treated soluble
Ecoli_Lysate_S1_untreated_soluble	Escherichia coli	cell lysate	not applicable	1	not available	Ecoli_Lysate_E8	proteomic profiling by mass spectrometry	2	WC_Proteinfolding_FASP_TMT_F4_R2_20170919.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT128N;AC=PRIDE:0000522	4	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A untreated soluble
Ecoli_Lysate_S2_RNaseA_total	Escherichia coli	cell lysate	not applicable	2	not available	Ecoli_Lysate_E8	proteomic profiling by mass spectrometry	2	WC_Proteinfolding_FASP_TMT_F4_R2_20170919.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT128C;AC=PRIDE:0000521	4	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A treated total
Ecoli_Lysate_S2_untreated_total	Escherichia coli	cell lysate	not applicable	2	not available	Ecoli_Lysate_E8	proteomic profiling by mass spectrometry	2	WC_Proteinfolding_FASP_TMT_F4_R2_20170919.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT129N;AC=PRIDE:0000525	4	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A untreated total
Ecoli_Lysate_S2_RNaseA_soluble	Escherichia coli	cell lysate	not applicable	2	not available	Ecoli_Lysate_E8	proteomic profiling by mass spectrometry	2	WC_Proteinfolding_FASP_TMT_F4_R2_20170919.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT129C;AC=PRIDE:0000524	4	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A treated soluble
Ecoli_Lysate_S2_untreated_soluble	Escherichia coli	cell lysate	not applicable	2	not available	Ecoli_Lysate_E8	proteomic profiling by mass spectrometry	2	WC_Proteinfolding_FASP_TMT_F4_R2_20170919.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT130N;AC=PRIDE:0000528	4	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A untreated soluble
Ecoli_Lysate_S1_RNaseA_total	Escherichia coli	cell lysate	not applicable	1	not available	Ecoli_Lysate_E9	proteomic profiling by mass spectrometry	1	WC_Proteinfolding_FASP_TMT_F5_R1_20170917.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT126;AC=PRIDE:0000516	5	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A treated total
Ecoli_Lysate_S1_untreated_total	Escherichia coli	cell lysate	not applicable	1	not available	Ecoli_Lysate_E9	proteomic profiling by mass spectrometry	1	WC_Proteinfolding_FASP_TMT_F5_R1_20170917.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT127N;AC=PRIDE:0000519	5	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A untreated total
Ecoli_Lysate_S1_RNaseA_soluble	Escherichia coli	cell lysate	not applicable	1	not available	Ecoli_Lysate_E9	proteomic profiling by mass spectrometry	1	WC_Proteinfolding_FASP_TMT_F5_R1_20170917.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT127C;AC=PRIDE:0000518	5	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A treated soluble
Ecoli_Lysate_S1_untreated_soluble	Escherichia coli	cell lysate	not applicable	1	not available	Ecoli_Lysate_E9	proteomic profiling by mass spectrometry	1	WC_Proteinfolding_FASP_TMT_F5_R1_20170917.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT128N;AC=PRIDE:0000522	5	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A untreated soluble
Ecoli_Lysate_S2_RNaseA_total	Escherichia coli	cell lysate	not applicable	2	not available	Ecoli_Lysate_E9	proteomic profiling by mass spectrometry	1	WC_Proteinfolding_FASP_TMT_F5_R1_20170917.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT128C;AC=PRIDE:0000521	5	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A treated total
Ecoli_Lysate_S2_untreated_total	Escherichia coli	cell lysate	not applicable	2	not available	Ecoli_Lysate_E9	proteomic profiling by mass spectrometry	1	WC_Proteinfolding_FASP_TMT_F5_R1_20170917.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT129N;AC=PRIDE:0000525	5	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A untreated total
Ecoli_Lysate_S2_RNaseA_soluble	Escherichia coli	cell lysate	not applicable	2	not available	Ecoli_Lysate_E9	proteomic profiling by mass spectrometry	1	WC_Proteinfolding_FASP_TMT_F5_R1_20170917.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT129C;AC=PRIDE:0000524	5	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A treated soluble
Ecoli_Lysate_S2_untreated_soluble	Escherichia coli	cell lysate	not applicable	2	not available	Ecoli_Lysate_E9	proteomic profiling by mass spectrometry	1	WC_Proteinfolding_FASP_TMT_F5_R1_20170917.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT130N;AC=PRIDE:0000528	5	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A untreated soluble
Ecoli_Lysate_S1_RNaseA_total	Escherichia coli	cell lysate	not applicable	1	not available	Ecoli_Lysate_E10	proteomic profiling by mass spectrometry	2	WC_Proteinfolding_FASP_TMT_F5_R2_20170919.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=TMT126;AC=PRIDE:0000516	5	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	Paper PMC10878026 explicitly maps eight TMT channels to treated/untreated total/soluble fractions from two independent cultures. There are 12 fractions and two LC-MS repeats. The paper gives 127C, correcting the PRIDE protocol typo 172C. The archive and paper do not report search mass tolerances, so generic 10 ppm/0.02 Da values were removed. https://doi.org/10.1080/15476286.2024.2315383	RNase A treated total
